SymbolicName,NodeId,NodeClass
PhysicalAssetCapabilityTestResultType,5050,VariableType
PhysicalAssetCapabilityTestSpecificationType,5057,ObjectType
PhysicalAssetClassPropertyType,5059,VariableType
PhysicalAssetClassPropertyType_PropertyName_Placeholder,5061,Variable
PhysicalAssetClassPropertyType_TestSpecification_Placeholder,5063,Object
PhysicalAssetClassPropertyType_TestSpecification_Placeholder_Version,5064,Variable
PhysicalAssetPropertyType,5065,VariableType
PhysicalAssetPropertyType_PropertyName_Placeholder,5067,Variable
PhysicalAssetPropertyType_TestSpecification_Placeholder,5069,Object
PhysicalAssetPropertyType_TestSpecification_Placeholder_Version,5070,Variable
PhysicalAssetPropertyType_TestResult_Placeholder,5071,Variable
PhysicalAssetPropertyType_TestResult_Placeholder_Id,5072,Variable
PhysicalAssetPropertyType_TestResult_Placeholder_ResultDescription,5073,Variable
PhysicalAssetPropertyType_TestResult_Placeholder_TestDate,5074,Variable
PhysicalAssetPropertyType_TestResult_Placeholder_Result,5075,Variable
PhysicalAssetPropertyType_TestResult_Placeholder_ResultUnitOfMeasure,5076,Variable
PhysicalAssetPropertyType_TestResult_Placeholder_Expiration,5077,Variable
PhysicalAssetClassType,5078,ObjectType
PhysicalAssetClassType_PropertyName_Placeholder,5079,Variable
PhysicalAssetClassType_TestSpecification_Placeholder,5081,Object
PhysicalAssetClassType_TestSpecification_Placeholder_Version,5082,Variable
PhysicalAssetClassType_Manufacturer,5083,Variable
PhysicalAssetClassType_ModelNumber,5084,Variable
PhysicalAssetType,5085,ObjectType
PhysicalAssetType_PropertyName_Placeholder,5086,Variable
PhysicalAssetType_PhysicalAssetClass,5088,Object
PhysicalAssetType_TestSpecification_Placeholder,5091,Object
PhysicalAssetType_TestSpecification_Placeholder_Version,5092,Variable
EquipmentType_PhysicalAsset_Placeholder,5093,Object
ISA95TestResultNonEUType,5094,VariableType
ISA95TestResultNonEUType_ResultUnitOfMeasure,5099,Variable
ISA95TestResultEUType,5101,VariableType
ISA95TestResultEUType_ResultUnitOfMeasure,5106,Variable
ISA95AssetAssignmentType,5108,VariableType
ISA95AssetAssignmentType_Id,5109,Variable
ISA95AssetAssignmentType_AssignmentDescription,5110,Variable
ISA95AssetAssignmentType_StartTime,5111,Variable
ISA95AssetAssignmentType_StopTime,5112,Variable
LocatedIn,5114,ReferenceType
MadeUpOfEquipment,5115,ReferenceType
MadeUpOfPhysicalAsset,5116,ReferenceType
MadeUpOfMaterialSublot,5117,ReferenceType
PersonPropertyType,5118,VariableType
PersonPropertyType_PropertyName_Placeholder,5120,Variable
PersonPropertyType_TestSpecification_Placeholder,5122,Object
PersonPropertyType_TestSpecification_Placeholder_Version,5123,Variable
PersonPropertyType_TestResult_Placeholder,5124,Variable
PersonPropertyType_TestResult_Placeholder_Id,5125,Variable
PersonPropertyType_TestResult_Placeholder_ResultDescription,5126,Variable
PersonPropertyType_TestResult_Placeholder_TestDate,5127,Variable
PersonPropertyType_TestResult_Placeholder_Result,5128,Variable
PersonPropertyType_TestResult_Placeholder_ResultUnitOfMeasure,5129,Variable
PersonPropertyType_TestResult_Placeholder_Expiration,5130,Variable
PersonType,5131,ObjectType
PersonType_PropertyName_Placeholder,5132,Variable
PersonType_TestSpecification_Placeholder,5134,Object
PersonType_TestSpecification_Placeholder_Version,5135,Variable
PhysicalAssetType_PhysicalAsset_Placeholder,5136,Object
PhysicalAssetType_PhysicalAsset_Placeholder_PhysicalLocation,5137,Variable
PhysicalAssetType_PhysicalLocation,5138,Variable
EquipmentType_Equipment_Placeholder,5144,Object
EquipmentType_Equipment_Placeholder_EquipmentLevel,5145,Variable
EquipmentType_Equipment_Placeholder_PhysicalAsset_Placeholder,5146,Object
PhysicalAssetType_PhysicalAsset_Placeholder_PhysicalAssetClass,5148,Object
PhysicalAssetType_PhysicalAsset_Placeholder_FixedAssetId,5151,Variable
PhysicalAssetType_PhysicalAsset_Placeholder_VendorId,5152,Variable
PhysicalAssetType_FixedAssetId,5153,Variable
PhysicalAssetType_VendorId,5154,Variable
MaterialTestResultType,5165,VariableType
MaterialTestSpecificationType,5172,ObjectType
MaterialDefinitionPropertyType,5174,VariableType
MaterialDefinitionPropertyType_PropertyName_Placeholder,5176,Variable
MaterialDefinitionPropertyType_TestSpecification_Placeholder,5178,Object
MaterialDefinitionPropertyType_TestSpecification_Placeholder_Version,5179,Variable
MaterialClassPropertyType,5180,VariableType
MaterialClassPropertyType_PropertyName_Placeholder,5182,Variable
MaterialClassPropertyType_TestSpecification_Placeholder,5184,Object
MaterialClassPropertyType_TestSpecification_Placeholder_Version,5185,Variable
MaterialLotPropertyType,5186,VariableType
MaterialLotPropertyType_TestResult_Placeholder,5193,Variable
MaterialLotPropertyType_TestResult_Placeholder_Id,5194,Variable
MaterialLotPropertyType_TestResult_Placeholder_ResultDescription,5195,Variable
MaterialLotPropertyType_TestResult_Placeholder_TestDate,5196,Variable
MaterialLotPropertyType_TestResult_Placeholder_Result,5197,Variable
MaterialLotPropertyType_TestResult_Placeholder_ResultUnitOfMeasure,5198,Variable
MaterialLotPropertyType_TestResult_Placeholder_Expiration,5199,Variable
MaterialLotPropertyType_PropertyName_Placeholder,5200,Variable
MaterialLotPropertyType_PropertyName_Placeholder_Id,5201,Variable
MaterialLotPropertyType_PropertyName_Placeholder_ResultDescription,5202,Variable
MaterialLotPropertyType_PropertyName_Placeholder_TestDate,5203,Variable
MaterialLotPropertyType_PropertyName_Placeholder_Result,5204,Variable
MaterialLotPropertyType_PropertyName_Placeholder_ResultUnitOfMeasure,5205,Variable
MaterialLotPropertyType_PropertyName_Placeholder_Expiration,5206,Variable
MaterialLotPropertyType_TestSpecification_Placeholder,5207,Object
MaterialLotPropertyType_TestSpecification_Placeholder_Version,5208,Variable
MaterialClassType,5209,ObjectType
MaterialClassType_PropertyName_Placeholder,5210,Variable
MaterialClassType_TestSpecification_Placeholder,5212,Object
MaterialClassType_TestSpecification_Placeholder_Version,5213,Variable
MaterialClassType_AssemblyClass_Placeholder,5214,Object
MaterialClassType_AssemblyClass_Placeholder_AssemblyType,5215,Variable
MaterialClassType_AssemblyClass_Placeholder_AssemblyRelationship,5216,Variable
MaterialClassType_AssemblyType,5217,Variable
MaterialClassType_AssemblyRelationship,5218,Variable
MaterialDefinitionType,5219,ObjectType
MaterialDefinitionType_PropertyName_Placeholder,5220,Variable
MaterialDefinitionType_TestSpecification_Placeholder,5222,Object
MaterialDefinitionType_TestSpecification_Placeholder_Version,5223,Variable
MaterialDefinitionType_MaterialClass_Placeholder,5224,Object
MaterialDefinitionType_AssemblyClass_Placeholder,5227,Object
MaterialDefinitionType_AssemblyClass_Placeholder_AssemblyType,5228,Variable
MaterialDefinitionType_AssemblyClass_Placeholder_AssemblyRelationship,5229,Variable
MaterialDefinitionType_AssemblyType,5230,Variable
MaterialDefinitionType_AssemblyRelationship,5231,Variable
MaterialLotType,5232,ObjectType
MaterialLotType_PropertyName_Placeholder,5233,Variable
MaterialLotType_PropertyName_Placeholder_Id,5234,Variable
MaterialLotType_PropertyName_Placeholder_ResultDescription,5235,Variable
MaterialLotType_PropertyName_Placeholder_TestDate,5236,Variable
MaterialLotType_PropertyName_Placeholder_Result,5237,Variable
MaterialLotType_PropertyName_Placeholder_ResultUnitOfMeasure,5238,Variable
MaterialLotType_PropertyName_Placeholder_Expiration,5239,Variable
MaterialLotType_TestSpecification_Placeholder,5240,Object
MaterialLotType_TestSpecification_Placeholder_Version,5241,Variable
MaterialLotType_MaterialDefinition_Placeholder,5242,Object
MaterialLotType_AssemblyLot_Placeholder,5245,Object
MaterialLotType_AssemblyLot_Placeholder_MaterialDefinition_Placeholder,5246,Object
MaterialLotType_AssemblyLot_Placeholder_AssemblyType,5249,Variable
MaterialLotType_AssemblyLot_Placeholder_AssemblyRelationship,5250,Variable
MaterialLotType_AssemblyLot_Placeholder_Status,5251,Variable
MaterialLotType_AssemblyLot_Placeholder_StorageLocation,5252,Variable
MaterialLotType_AssemblyLot_Placeholder_Quantity,5253,Variable
MaterialLotType_AssemblyType,5254,Variable
MaterialLotType_AssemblyRelationship,5255,Variable
MaterialLotType_Status,5256,Variable
MaterialLotType_StorageLocation,5257,Variable
MaterialLotType_Quantity,5258,Variable
MaterialSublotType,5259,ObjectType
MaterialSublotType_PropertyName_Placeholder,5260,Variable
MaterialSublotType_PropertyName_Placeholder_Id,5261,Variable
MaterialSublotType_PropertyName_Placeholder_ResultDescription,5262,Variable
MaterialSublotType_PropertyName_Placeholder_TestDate,5263,Variable
MaterialSublotType_PropertyName_Placeholder_Result,5264,Variable
MaterialSublotType_PropertyName_Placeholder_ResultUnitOfMeasure,5265,Variable
MaterialSublotType_PropertyName_Placeholder_Expiration,5266,Variable
MaterialSublotType_TestSpecification_Placeholder,5267,Object
MaterialSublotType_TestSpecification_Placeholder_Version,5268,Variable
MaterialSublotType_AssemblyLot_Placeholder,5269,Object
MaterialSublotType_AssemblySublot_Placeholder,5278,Object
MaterialSublotType_AssemblySublot_Placeholder_AssemblyType,5279,Variable
MaterialSublotType_AssemblySublot_Placeholder_AssemblyRelationship,5280,Variable
MaterialSublotType_AssemblySublot_Placeholder_Status,5281,Variable
MaterialSublotType_AssemblySublot_Placeholder_StorageLocation,5282,Variable
MaterialSublotType_AssemblySublot_Placeholder_Quantity,5283,Variable
MaterialSublotType_AssemblyType,5284,Variable
MaterialSublotType_AssemblyRelationship,5285,Variable
MaterialSublotType_Sublot_Placeholder,5286,Object
MaterialSublotType_Sublot_Placeholder_AssemblyType,5287,Variable
MaterialSublotType_Sublot_Placeholder_AssemblyRelationship,5288,Variable
MaterialSublotType_Sublot_Placeholder_Status,5289,Variable
MaterialSublotType_Sublot_Placeholder_StorageLocation,5290,Variable
MaterialSublotType_Sublot_Placeholder_Quantity,5291,Variable
MaterialSublotType_Status,5292,Variable
MaterialSublotType_StorageLocation,5293,Variable
MaterialSublotType_Quantity,5294,Variable
MaterialLotType_AssemblySublot_Placeholder,5295,Object
DefinedByMaterialClass,5300,ReferenceType
DefinedByMaterialDefinition,5301,ReferenceType
PersonType_PersonnelClass_Placeholder,5302,Object
PhysicalAssetType_PhysicalAsset_Placeholder_AssetAssignment,5303,Variable
PhysicalAssetType_PhysicalAsset_Placeholder_AssetAssignment_Id,5304,Variable
PhysicalAssetType_PhysicalAsset_Placeholder_AssetAssignment_AssignmentDescription,5305,Variable
PhysicalAssetType_PhysicalAsset_Placeholder_AssetAssignment_StartTime,5306,Variable
PhysicalAssetType_PhysicalAsset_Placeholder_AssetAssignment_StopTime,5307,Variable
PhysicalAssetType_AssetAssignment,5308,Variable
PhysicalAssetType_AssetAssignment_Id,5309,Variable
PhysicalAssetType_AssetAssignment_AssignmentDescription,5310,Variable
PhysicalAssetType_AssetAssignment_StartTime,5311,Variable
PhysicalAssetType_AssetAssignment_StopTime,5312,Variable
EquipmentType_Equipment_Placeholder_AssetAssignment,5318,Variable
