Bad_OutOfRange_DominantValueChanged,283
Bad_Edited_OutOfRange_DominantValueChanged,284
Bad_OutOfRange_DominantValueChanged_DependentValueChanged,285
Bad_Edited_OutOfRange_DominantValueChanged_DependentValueChanged,286
Bad_TicketRequired,287
Bad_TicketInvalid,288
Uncertain_TransducerInManual,520
Uncertain_SimulatedValue,521
Uncertain_SensorCalibration,522
Uncertain_ConfigurationError,527
Good_CascadeInitializationAcknowledged,1025
Good_CascadeInitializationRequest,1026
Good_CascadeNotInvited,1027
Good_CascadeNotSelected,1028
Good_FaultStateActive,1031
Good_InitiateFaultState,1032
Good_Cascade,1033
